State,Number absentee ballots returned
Alabama,300000
Alaska,152000
Arizona,2471000
Arkansas,118000
California,12090000
Colorado,2809000
Connecticut,636000
Delaware,148000
District of Columbia,191000
Florida,4737000
Georgia,1318000
Hawaii,484000
Idaho,402000
Illinois,1759000
Indiana,506000
Iowa,996000
Kansas,422000
Kentucky,575000
Louisiana,159000
Maine,499000
Maryland,1316000
Massachusetts,1384000
Michigan,2841000
Minnesota,1716000
Mississippi,231000
Missouri,827000
Montana,52900
Nebraska,482000
Nevada,579000
New Hampshire,181000
New Jersey,3658000
New Mexico,320000
New York,1236000
North Carolina,977000
North Dakota,174000
Ohio,3000000
Oklahoma,279000
Oregon,2155000
Pennsylvania,2615000
Rhode Island,156000
South Carolina,1309000
South Dakota,118000
Tennessee,210000
Texas,973000
Utah,1124000
Vermont,255000
Virginia,962000
Washington,3545000
West Virginia,136000
Wisconsin,1275000
Wyoming,131000
